car_make,car_model,vehicle_type,classification_method,evidence,source_url,verification_status
Mazda,Rx-8,Sports car,llm-knowledge,Rotary sports car.,,LLM-reviewed
Mclaren,570,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Mclaren,600Lt,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Mclaren,650S,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Mclaren,675Lt,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Mclaren,720S,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Mclaren,Artura,Sports car,llm-knowledge,Hybrid supercar.,,LLM-reviewed
Mclaren,Gt,Sports car,llm-knowledge,Mid-engine GT.,,LLM-reviewed
Mclaren,Mp4-12C,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Mercedes Benz,190E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:8.,,LLM-reviewed
Mercedes Benz,200,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:34.,,LLM-reviewed
Mercedes Benz,200D,Sedan,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Mercedes Benz,200E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:11.,,LLM-reviewed
Mercedes Benz,200Te,Wagon / Estate,llm-knowledge,TE = T-model estate.,,LLM-reviewed
Mercedes Benz,220E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:10.,,LLM-reviewed
Mercedes Benz,230,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:15.,,LLM-reviewed
Mercedes Benz,230Ce,Coupe,llm-knowledge,CE = W123/W124 coupe.,,LLM-reviewed
Mercedes Benz,230E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:24.,,LLM-reviewed
Mercedes Benz,230Te,Wagon / Estate,llm-knowledge,TE = T-model estate.,,LLM-reviewed
Mercedes Benz,240D,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,250S,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Mercedes Benz,260E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:9.,,LLM-reviewed
Mercedes Benz,280Se,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Mercedes Benz,280Sl,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,280Te,Wagon / Estate,llm-knowledge,TE = T-model estate.,,LLM-reviewed
Mercedes Benz,300Ce,Coupe,llm-knowledge,CE = W124 coupe.,,LLM-reviewed
Mercedes Benz,300E,Sedan,make/model heuristic,LLM pass concurs; DB majority Coupe:1.,,LLM-reviewed
Mercedes Benz,300Ge,SUV / Crossover,llm-knowledge,G-Wagen.,,LLM-reviewed
Mercedes Benz,300Se,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:10.,,LLM-reviewed
Mercedes Benz,300Sel,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,300Sl,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,300Te,Wagon / Estate,llm-knowledge,TE = T-model estate.,,LLM-reviewed
Mercedes Benz,320Ce,Coupe,llm-knowledge,CE = W124 coupe.,,LLM-reviewed
Mercedes Benz,500 Sec,Coupe,llm-knowledge,SEC = C126 coupe.,,LLM-reviewed
Mercedes Benz,A150,Hatchback,llm-knowledge,W169 hatch only.,,LLM-reviewed
Mercedes Benz,A160,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Mercedes Benz,A170,Hatchback,llm-knowledge,W168/W169 hatch only.,,LLM-reviewed
Mercedes Benz,A180,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:317.,,LLM-reviewed
Mercedes Benz,A200,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:153.,,LLM-reviewed
Mercedes Benz,A250,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Sedan:159.,,LLM-reviewed
Mercedes Benz,A35,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:62.,,LLM-reviewed
Mercedes Benz,A45,Hatchback,llm-knowledge,A45 sold as hatch only (A35 has a sedan).,,LLM-reviewed
Mercedes Benz,Amg Gt,Sports car,llm-knowledge,AMG GT sports car (4-door variant exists).,,LLM-reviewed
Mercedes Benz,Amg Gt S,Sports car,llm-knowledge,AMG GT S sports car.,,LLM-reviewed
Mercedes Benz,B Sports Tourer,MPV / Minivan,llm-knowledge,B-Class Sports Tourer.,,LLM-reviewed
Mercedes Benz,B170,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Hatchback:7.,,LLM-reviewed
Mercedes Benz,B180,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Hatchback:19.,,LLM-reviewed
Mercedes Benz,B200,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Hatchback:19.,,LLM-reviewed
Mercedes Benz,C180,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:118.,,LLM-reviewed
Mercedes Benz,C200,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:633.,,LLM-reviewed
Mercedes Benz,C200 Amg,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:222.,,LLM-reviewed
Mercedes Benz,C200K,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,C220,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Mercedes Benz,C230,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Mercedes Benz,C240,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Mercedes Benz,C250,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:120.,,LLM-reviewed
Mercedes Benz,C280,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Mercedes Benz,C300,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:183.,,LLM-reviewed
Mercedes Benz,C320,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Mercedes Benz,C350E,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:53.,,LLM-reviewed
Mercedes Benz,C43,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:56.,,LLM-reviewed
Mercedes Benz,C63,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:8.,,LLM-reviewed
Mercedes Benz,Cl500,Coupe,llm-knowledge,CL = large luxury coupe.,,LLM-reviewed
Mercedes Benz,Cla180,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:97.,,LLM-reviewed
Mercedes Benz,Cla200,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:58.,,LLM-reviewed
Mercedes Benz,Cla220,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,Cla250,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:56.,,LLM-reviewed
Mercedes Benz,Cla35,Sedan,make/model heuristic,LLM pass concurs; DB majority Coupe:26.,,LLM-reviewed
Mercedes Benz,Cla45,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:108.,,LLM-reviewed
Mercedes Benz,Clc180,Coupe,llm-knowledge,CLC sports coupe.,,LLM-reviewed
Mercedes Benz,Clc200,Coupe,llm-knowledge,CLC sports coupe.,,LLM-reviewed
Mercedes Benz,Cle 200,Coupe,llm-knowledge,CLE coupe.,,LLM-reviewed
Mercedes Benz,Cle 300,Coupe,llm-knowledge,CLE coupe.,,LLM-reviewed
Mercedes Benz,Cle 53,Coupe,llm-knowledge,CLE coupe.,,LLM-reviewed
Mercedes Benz,Clk200,Coupe,llm-knowledge,CLK coupe (cabriolet variant exists).,,LLM-reviewed
Mercedes Benz,Clk230,Coupe,llm-knowledge,CLK coupe.,,LLM-reviewed
Mercedes Benz,Clk240,Coupe,llm-knowledge,CLK coupe.,,LLM-reviewed
Mercedes Benz,Clk270,Coupe,llm-knowledge,CLK coupe.,,LLM-reviewed
Mercedes Benz,Clk320,Coupe,llm-knowledge,CLK coupe.,,LLM-reviewed
Mercedes Benz,Clk55,Coupe,llm-knowledge,CLK coupe.,,LLM-reviewed
Mercedes Benz,Cls350,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:22.,,LLM-reviewed
Mercedes Benz,Cls450,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:7.,,LLM-reviewed
Mercedes Benz,Cls53,Sedan,make/model heuristic,LLM pass concurs; DB majority Coupe:8.,,LLM-reviewed
Mercedes Benz,Cls55,Sedan,make/model heuristic,LLM pass concurs; DB majority Sports:2.,,LLM-reviewed
Mercedes Benz,Cls63,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,E200,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:359.,,LLM-reviewed
Mercedes Benz,E220,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,E230,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:11.,,LLM-reviewed
Mercedes Benz,E240,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:42.,,LLM-reviewed
Mercedes Benz,E250,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:250.,,LLM-reviewed
Mercedes Benz,E270,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Mercedes Benz,E280,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:18.,,LLM-reviewed
Mercedes Benz,E300,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:163.,,LLM-reviewed
Mercedes Benz,E350,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:56.,,LLM-reviewed
Mercedes Benz,E350E Amg,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:29.,,LLM-reviewed
Mercedes Benz,E350E Exclusive,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:18.,,LLM-reviewed
Mercedes Benz,E400,Sedan,make/model heuristic,LLM pass concurs; DB majority Coupe:2.,,LLM-reviewed
Mercedes Benz,E43,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:9.,,LLM-reviewed
Mercedes Benz,E53,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:8.,,LLM-reviewed
Mercedes Benz,E63,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,Eqb,SUV / Crossover,llm-knowledge,EQB electric SUV.,,LLM-reviewed
Mercedes Benz,Eqc,SUV / Crossover,llm-knowledge,EQC electric SUV; DB unanimous SUV.,,LLM-reviewed
Mercedes Benz,Eqe,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:5.,,LLM-reviewed
Mercedes Benz,Eqs,Sedan,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Mercedes Benz,Eqv,MPV / Minivan,llm-knowledge,Electric V-Class people mover.,,LLM-reviewed
Mercedes Benz,G-Class,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:9.,,LLM-reviewed
Mercedes Benz,G350,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:35.,,LLM-reviewed
Mercedes Benz,G400,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:35.,,LLM-reviewed
Mercedes Benz,G55,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Mercedes Benz,G580,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Mercedes Benz,G63,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:132.,,LLM-reviewed
Mercedes Benz,Gl350,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Mercedes Benz,Gla180,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Mercedes Benz,Gla200,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:90.,,LLM-reviewed
Mercedes Benz,Gla220,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Mercedes Benz,Gla250,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:129.,,LLM-reviewed
Mercedes Benz,Gla35,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:35.,,LLM-reviewed
Mercedes Benz,Gla45,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:44.,,LLM-reviewed
Mercedes Benz,Glb200,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:16.,,LLM-reviewed
Mercedes Benz,Glb250,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:13.,,LLM-reviewed
Mercedes Benz,Glb35,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:14.,,LLM-reviewed
Mercedes Benz,Glc200,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:124.,,LLM-reviewed
Mercedes Benz,Glc250,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:189.,,LLM-reviewed
Mercedes Benz,Glc300,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:242.,,LLM-reviewed
Mercedes Benz,Glc350,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:14.,,LLM-reviewed
Mercedes Benz,Glc43,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:53.,,LLM-reviewed
Mercedes Benz,Glc63,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Mercedes Benz,Gle250D,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Mercedes Benz,Gle350D,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Mercedes Benz,Gle400,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Mercedes Benz,Gle43,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:10.,,LLM-reviewed
Mercedes Benz,Gle450 Coupe,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:69.,,LLM-reviewed
Mercedes Benz,Gle53,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:35.,,LLM-reviewed
Mercedes Benz,Gle63 S Amg,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Mercedes Benz,Gls350,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Mercedes Benz,Gls450,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Mercedes Benz,Gls600,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Mercedes Benz,Gls63 Amg,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Mercedes Benz,Mb100,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Mercedes Benz,Mb140D,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:3.,,LLM-reviewed
Mercedes Benz,Ml270,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Mercedes Benz,Ml300,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Mercedes Benz,Ml350,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:19.,,LLM-reviewed
Mercedes Benz,R280L,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
Mercedes Benz,R300L,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:3.,,LLM-reviewed
Mercedes Benz,R350L,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:3.,,LLM-reviewed
Mercedes Benz,S-Class,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:11.,,LLM-reviewed
Mercedes Benz,S280,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:10.,,LLM-reviewed
Mercedes Benz,S300L,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:18.,,LLM-reviewed
Mercedes Benz,S320,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Mercedes Benz,S320L,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:10.,,LLM-reviewed
Mercedes Benz,S350L,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:21.,,LLM-reviewed
Mercedes Benz,S400 Hybrid,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:16.,,LLM-reviewed
Mercedes Benz,S400L Hybrid,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:90.,,LLM-reviewed
Mercedes Benz,S430,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Mercedes Benz,S450L,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:6.,,LLM-reviewed
Mercedes Benz,S500L,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Mercedes Benz,S560,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:20.,,LLM-reviewed
Mercedes Benz,S580,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:17.,,LLM-reviewed
Mercedes Benz,S63,Coupe,llm-knowledge,MY S63 listings are C217 coupes; DB unanimous Coupe.,,LLM-reviewed
Mercedes Benz,Sl320,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,Sl350,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,Sl400 Amg,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,Sl500,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,Sl55,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,Sl63,Convertible / Roadster,llm-knowledge,SL roadster.,,LLM-reviewed
Mercedes Benz,Slc 200,Convertible / Roadster,llm-knowledge,SLC folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Slc 300,Convertible / Roadster,llm-knowledge,SLC folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Slc 43,Convertible / Roadster,llm-knowledge,SLC folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Slk200,Convertible / Roadster,llm-knowledge,SLK folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Slk230,Convertible / Roadster,llm-knowledge,SLK folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Slk250,Convertible / Roadster,llm-knowledge,SLK folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Slk280,Convertible / Roadster,llm-knowledge,SLK folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Slk350,Convertible / Roadster,llm-knowledge,SLK folding hard-top roadster.,,LLM-reviewed
Mercedes Benz,Sls Amg,Sports car,llm-knowledge,Gullwing supercar.,,LLM-reviewed
Mercedes Benz,V220,MPV / Minivan,llm-knowledge,V-Class people mover.,,LLM-reviewed
Mercedes Benz,V250,MPV / Minivan,llm-knowledge,V-Class people mover.,,LLM-reviewed
Mercedes Benz,V300,MPV / Minivan,llm-knowledge,V-Class people mover.,,LLM-reviewed
Mercedes Benz,Viano,MPV / Minivan,llm-knowledge,Viano people mover.,,LLM-reviewed
Mercedes Benz,Vito,MPV / Minivan,llm-knowledge,MY Vito = Tourer people mover; DB majority MPV.,,LLM-reviewed
Mercedes Benz,X250 D,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
Mg,Cyberster,Convertible / Roadster,llm-knowledge,Electric roadster.,,LLM-reviewed
Mg,Hs,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Mg,Mg4,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:7.,,LLM-reviewed
Mg,Mg5,Sedan,llm-knowledge,MG5 saloon; DB 21 Sedan.,,LLM-reviewed
Mg,Mgb,Convertible / Roadster,llm-knowledge,Classic roadster (GT coupe existed).,,LLM-reviewed
Mg,Mghs,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Mg,S5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Mg,Yt,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Mg,Zs Ev,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Mg,Zt,Sedan,llm-knowledge,MG ZT saloon.,,LLM-reviewed
Mini,Aceman,SUV / Crossover,llm-knowledge,Aceman EV crossover.,,LLM-reviewed
Mini,Cooper,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:118.,,LLM-reviewed
Mini,Cooper Clubman,Wagon / Estate,llm-knowledge,Clubman compact estate.,,LLM-reviewed
Mini,Cooper S,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:300.,,LLM-reviewed
Mini,Cooper S Clubman,Wagon / Estate,llm-knowledge,Clubman compact estate.,,LLM-reviewed
Mini,Countryman,SUV / Crossover,llm-knowledge,Countryman crossover; DB majority SUV.,,LLM-reviewed
Mini,Countryman S,SUV / Crossover,llm-knowledge,Countryman crossover; DB majority SUV.,,LLM-reviewed
Mini,John Cooper Works,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:167.,,LLM-reviewed
Mini,One,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:8.,,LLM-reviewed
Mini,Paceman,SUV / Crossover,llm-knowledge,Countryman-based 3-door crossover.,,LLM-reviewed
Mitsubishi,Airtrek,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Mitsubishi,Asx,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:199.,,LLM-reviewed
Mitsubishi,Attrage,Sedan,llm-knowledge,Mirage-based saloon.,,LLM-reviewed
Mitsubishi,Challenger,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Mitsubishi,Chariot,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:1.,,LLM-reviewed
Mitsubishi,Colt,Hatchback,llm-knowledge,Colt hatchback; DB all Hatchback.,,LLM-reviewed
Mitsubishi,Delica,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Mitsubishi,Fto,Coupe,llm-knowledge,FTO sports coupe.,,LLM-reviewed
Mitsubishi,Galant,Sedan,llm-knowledge,Galant saloon.,,LLM-reviewed
Mitsubishi,Grandis,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:35.,,LLM-reviewed
Mitsubishi,Gto,Sports car,llm-knowledge,GTO/3000GT sports car.,,LLM-reviewed
Mitsubishi,Lancer,Sedan,llm-knowledge,Lancer saloon; DB 110 Sedan.,,LLM-reviewed
Mitsubishi,Mirage,Hatchback,llm-knowledge,Mirage hatch (sedan = Attrage); DB majority Hatchback.,,LLM-reviewed
Mitsubishi,Outlander,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:83.,,LLM-reviewed
Mitsubishi,Pajero,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:82.,,LLM-reviewed
Mitsubishi,Space Gear,MPV / Minivan,llm-knowledge,Delica Space Gear people mover.,,LLM-reviewed
Mitsubishi,Storm,Pickup / Truck,llm-knowledge,Triton Storm; DB Pick-Up majority.,,LLM-reviewed
Mitsubishi,Triton,Pickup / Truck,official source,Mitsubishi Motors Malaysia official Triton model page; Triton is a pickup truck.,https://www.mitsubishi-motors.com.my/model/triton/,Verified
Mitsubishi,Xforce,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:13.,,LLM-reviewed
Mitsubishi,Xpander,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:213.,,LLM-reviewed
Mitsuoka,Cute,Hatchback,llm-knowledge,Mitsuoka microcar.,,Needs source URL
Morris,Mini,Hatchback,make/model heuristic,LLM pass concurs; DB majority Coupe:3.,,LLM-reviewed
Morris,Minor,Sedan,llm-knowledge,2/4-door saloon (Traveller estate existed).,,LLM-reviewed
Naza,Bestari,Sedan,llm-knowledge,Rebadged Kia Spectra saloon.,,LLM-reviewed
Naza,Citra,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:82.,,LLM-reviewed
Naza,Forte,Sedan,llm-knowledge,Rebadged Kia Forte saloon; DB majority Sedan.,,LLM-reviewed
Naza,Picanto,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:4.,,LLM-reviewed
Naza,Ria,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:27.,,LLM-reviewed
Naza,Sorento,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:8.,,LLM-reviewed
Naza,Suria,Hatchback,llm-knowledge,Rebadged Kia Pride hatch; DB majority Hatchback.,,LLM-reviewed
Naza,Sutera,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Neta,V,SUV / Crossover,llm-knowledge,Small crossover EV; DB unanimous SUV.,,LLM-reviewed
Nissan,180Sx,Sports car,llm-knowledge,S13 sports coupe.,,LLM-reviewed
Nissan,370Z,Sports car,llm-knowledge,Z sports car.,,LLM-reviewed
Nissan,720,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
Nissan,Ad Resort,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Others:3.,,LLM-reviewed
Nissan,Almera,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:784.,,LLM-reviewed
Nissan,Bluebird,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Nissan,Cefiro,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:33.,,LLM-reviewed
Nissan,Cube,Hatchback,llm-knowledge,Boxy compact hatch.,,LLM-reviewed
Nissan,Elgrand,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:47.,,LLM-reviewed
Nissan,Fairlady Z,Sports car,llm-knowledge,Z sports car.,,LLM-reviewed
Nissan,Figaro,Convertible / Roadster,llm-knowledge,Retro fixed-profile convertible.,,LLM-reviewed
Nissan,Frontier,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:17.,,LLM-reviewed
Nissan,Grand Livina,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:365.,,LLM-reviewed
Nissan,Gtr,Sports car,llm-knowledge,GT-R supercar.,,LLM-reviewed
Nissan,Juke,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:8.,,LLM-reviewed
Nissan,Kicks,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Nissan,Latio,Sedan / Hatchback,llm-knowledge,MY Latio sold both bodies; DB split 35/37.,,LLM-reviewed
Nissan,Laurel,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
